Year,Age,E_F,E_M,E_Tot,D_F,D_M,D_Tot,m_F,m_M,m_Tot
1816,51,156946.95,144043.23,300990.18,2866.56,2882.21,5748.77,0.018264515493929635,0.020009340251534207,0.01909952676861418
1816,52,154145.46,141578.21,295723.67,2936.23,2964.31,5900.54,0.019048436457356578,0.020937614623041216,0.019952883717424447
1816,53,151110.34,138866.39,289976.73,2986.98,3027.98,6014.96,0.019766880280992022,0.021804988233653944,0.020742905818684144
1816,54,147662.09,135724.96,283387.04,3018.85,3073.22,6092.07,0.020444313093496102,0.022642998015987625,0.021497348643748845
1816,55,143510.21,133653.35,277163.56,3046.37,3111.54,6157.91,0.021227548897043633,0.023280673473579223,0.022217603208733498
1816,56,137705.0,130246.71,267951.71,3127.68,3188.96,6316.64,0.022712900766130494,0.024483996563137756,0.02357379992088873
1816,57,134590.47,127162.17,261752.63,3277.34,3316.98,6594.32,0.024350461069048947,0.02608464451338004,0.02519294648538966
1816,58,130807.67,123441.99,254249.66,3495.35,3495.6,6990.95,0.026721292413510615,0.028317754760758474,0.027496398618586156
1816,59,125926.28,118697.34,244623.62,3781.7,3724.84,7506.54,0.030031062618541576,0.03138098966665976,0.030686080109516817
1816,60,122360.31,115335.46,237695.77,4106.78,3981.22,8088.0,0.033563007481756134,0.03451861205565053,0.034026688821597456
1816,61,116078.81,109714.81,225793.63,4352.06,4170.84,8522.9,0.03749228649053174,0.038015287088406756,0.0377464147239229
1816,62,110389.81,104340.49,214730.3,4487.92,4270.24,8758.16,0.0406552017799469,0.04092601060240372,0.0407867916172054
1816,63,104239.19,98549.07,202788.27,4514.38,4279.41,8793.79,0.04330789600341292,0.043424154078775166,0.043364391835878875
1816,64,97857.49,92517.9,190375.39,4431.41,4198.37,8629.78,0.04528432110817475,0.045379002333602474,0.045330333926039496
1816,65,92978.84,87462.46,180441.3,4269.6,4053.1,8322.7,0.04592012548231405,0.046341024480674335,0.04612414120270693
1816,66,86570.57,81268.15,167838.72,4151.22,3947.51,8098.73,0.04795186170080663,0.04857388780229402,0.048253049117629114
1816,67,80125.92,75128.83,155254.75,4106.85,3907.61,8014.46,0.05125494970915779,0.052012123708035915,0.05162135135962024
1816,68,73871.35,69166.39,143037.75,4136.48,3933.39,8069.87,0.05599572770769722,0.056868516630693026,0.05641776384206267
1816,69,67890.4,63482.21,131372.61,4240.12,4024.84,8264.96,0.062455369242190355,0.06340106937045828,0.06291235288695261
1816,70,62628.7,58719.84,121348.55,4390.6,4158.16,8548.76,0.07010523929125147,0.0708135444510748,0.0704479781587831
1816,71,56914.46,53558.93,110473.39,4479.27,4238.12,8717.39,0.0787017921280462,0.0791300348980086,0.07890940976827089
1816,72,51595.81,48591.58,100187.39,4478.96,4240.9,8719.86,0.08680859938045357,0.08727643760503362,0.0870355041687382
1816,73,46246.19,43604.83,89851.02,4389.69,4166.51,8556.2,0.09492003557482248,0.09555157077782439,0.09522652052252718
1816,74,41480.34,39143.68,80624.02,4211.44,4014.93,8226.37,0.10152857956323405,0.10256904818351263,0.10203373634805112
1816,75,37233.07,34974.27,72207.35,3964.4,3802.58,7766.98,0.10647523827608092,0.10872507131671369,0.10756495010549479
1816,76,33270.97,31083.03,64354.01,3729.25,3594.94,7324.19,0.1120872039498698,0.11565603482028619,0.11381093423704287
1816,77,29342.75,27323.09,56665.83,3526.18,3408.41,6934.59,0.12017210384166446,0.12474467565710906,0.12237692450635594
1816,78,25639.48,23760.61,49400.1,3355.18,3243.0,6598.18,0.1308599082352684,0.13648639491999573,0.13356612638435955
1816,79,24230.72,22359.99,46590.71,3216.27,3098.69,6314.96,0.13273522206521307,0.13858190455362457,0.1355411840686695
1816,80,19198.81,17923.7,37122.51,3093.26,2962.6,6055.86,0.16111727758126676,0.16528953285314973,0.16313174944258885
