Year,Age,E_F,E_H,E_Tot,D_F,D_H,D_Tot,m_F,m_H,m_Tot
2000,48,422633.57,414827.19,837460.76,982,2122,3104,0.002323525790911498,0.005115383106878794,0.003706442317368995
2000,49,425723.93,420218.22,845942.15,1007,2232,3239,0.0023653826553748105,0.005311525997135489,0.0038288670212259786
2000,50,432677.35,428466.34,861143.69,1051,2532,3583,0.00242906174774344,0.005909449036300027,0.004160745810028522
2000,51,430302.33,427920.62,858222.94,1126,2637,3763,0.00261676482207289,0.006162357869083289,0.0043846415944090245
2000,52,423695.89,422752.29,846448.17,1237,2884,4121,0.0029195468476222414,0.0068219618632935144,0.004868579253942979
2000,53,414366.09,412224.13,826590.22,1203,2934,4137,0.0029032298468245794,0.007117487275672096,0.005004898315878937
2000,54,355323.08,352800.16,708123.24,1115,2628,3743,0.003137989235036463,0.00744897621361623,0.005285803075747097
2000,55,303219.53,299945.03,603164.57,1091,2580,3671,0.003598053199277764,0.008601576095459891,0.006086232817023719
2000,56,301376.4,297115.04,598491.44,1116,2669,3785,0.0037030105874248944,0.008983052490375445,0.006324234144434881
2000,57,285942.22,281920.0,567862.22,1137,2648,3785,0.003976327804967032,0.009392735527809308,0.00666534921094064
2000,58,267329.9,262516.55,529846.46,1031,2508,3539,0.0038566580094482506,0.009553683377295641,0.0066792934692816485
2000,59,243343.36,236224.19,479567.55,1062,2557,3619,0.00436420373253661,0.010824462981543085,0.007546382152003404
2000,60,279295.43,265872.18,545167.61,1351,3089,4440,0.004837171879253449,0.011618364884960887,0.008144284287175462
2000,61,279433.07,261473.06,540906.13,1364,3238,4602,0.0048813120079166,0.012383684957830838,0.008507945731729829
2000,62,280259.77,259175.59,539435.36,1580,3671,5251,0.005637626834561378,0.014164142541355843,0.009734252496907137
2000,63,282023.6,257430.04,539453.64,1630,3815,5445,0.005779658156267774,0.014819560296848028,0.010093545758630898
2000,64,283679.08,254096.28,537775.36,1833,4161,5994,0.006461526877484233,0.016375682477523874,0.011145917879167987
2000,65,289452.99,254631.35,544084.34,2027,4533,6560,0.007002864264763684,0.01780220699454329,0.012056954258231362
2000,66,290565.87,251572.33,542138.2,2213,5042,7255,0.007616173227777922,0.020041949764507093,0.013382196642848633
2000,67,293156.89,249209.6,542366.48,2440,5249,7689,0.008323188310532288,0.02106259148925242,0.014176761071222543
2000,68,298612.08,248678.93,547291.01,2787,5811,8598,0.009333179019415423,0.02336748030884643,0.015710106402076658
2000,69,299849.03,244203.52,544052.54,3174,6209,9383,0.010585326889334942,0.025425513931985912,0.0172464960828967
2000,70,290137.65,231969.5,522107.15,3373,6371,9744,0.01162551637128101,0.0274648175729999,0.018662835779973515
2000,71,283354.51,221806.47,505160.98,3645,6611,10256,0.012863744430960354,0.02980526221800473,0.020302439036364212
2000,72,280045.3,213733.02,493778.32,4028,7149,11177,0.01438338725913272,0.03344827111880046,0.022635663712412483
2000,73,274538.82,204279.47,478818.29,4310,7262,11572,0.015699054873186968,0.0355493383647412,0.024167832018279836
2000,74,270123.36,195147.34,465270.7,4823,7666,12489,0.01785480530080775,0.03928313857621631,0.026842438176313273
2000,75,265651.53,185737.53,451389.06,5230,7978,13208,0.019687445428979836,0.04295308546420317,0.029260788907910174
2000,76,256119.96,174273.34,430393.29,5864,8269,14133,0.022895521301814978,0.047448450807220426,0.03283740785085195
2000,77,250091.78,165999.25,416091.03,6401,8627,15028,0.02559460370908632,0.051970114322805676,0.036117096780480945
2000,78,249781.37,161308.92,411090.29,7449,9115,16564,0.02982208000540633,0.05650648457630241,0.0402928514803889
2000,79,245297.14,154387.58,399684.73,8292,9556,17848,0.033803900037318,0.061896170663469176,0.044655196109193364
2000,80,200075.89,120079.12,320155.02,7752,8635,16387,0.03874529809663723,0.07191092006670269,0.051184579270379706
2000,81,119619.7,68134.65,187754.35,5467,5533,11000,0.04570317430991718,0.08120684556242676,0.058587191188912535
2000,82,108465.02,58802.38,167267.4,5444,5294,10738,0.05019129669639115,0.09003036951905688,0.06419660973985368
2000,83,92442.17,47694.69,140136.86,5537,4850,10387,0.05989690635778022,0.10168846888406236,0.07412039915836562
2000,84,84266.95,41482.76,125749.71,5956,4744,10700,0.07068014209604122,0.11436076095226065,0.0850896594513021
2000,85,129446.7,60157.63,189604.34,10298,7502,17800,0.07955397858732591,0.1247057106471781,0.09387970760584911
2000,86,134250.03,59485.48,193735.51,12058,8172,20230,0.0898174845845472,0.13737806268017,0.10442071254774099
2000,87,121423.09,51298.18,172721.27,12557,7715,20272,0.10341525652163852,0.15039519920589775,0.11736828938323578
2000,88,103003.94,40509.42,143513.36,12201,6910,19111,0.11845177961153719,0.17057760886233375,0.13316530251957032
2000,89,89331.02,32644.46,121975.48,11743,6151,17894,0.13145489663053214,0.18842400823907027,0.1467016157673657
2000,90,76823.26,26179.77,103003.03,11526,5577,17103,0.15003268541324594,0.21302708159773748,0.1660436591040089
2000,91,63862.33,20149.85,84012.18,10781,4778,15559,0.16881626461170457,0.2371233532755827,0.1851993365723875
2000,92,50632.94,14858.94,65491.88,9777,3816,13593,0.19309564090096287,0.2568150890978764,0.2075524477232903
2000,93,39678.46,10721.53,50399.99,8502,3097,11599,0.2142724289198724,0.2888580267928178,0.2301389345513759
2000,94,30364.84,7592.44,37957.28,7321,2350,9671,0.24110122101746626,0.3095184156871836,0.25478643359060504
2000,95,22495.25,5265.99,27761.25,6030,1795,7825,0.2680565897244974,0.34086657969346695,0.28186771128821647
2000,96,16281.15,3445.69,19726.84,4760,1247,6007,0.29236264023118763,0.3619013898522502,0.30450898369936596
2000,97,11696.59,2227.03,13923.62,3570,911,4481,0.3052171615829913,0.4090649878986812,0.3218272259656612
2000,98,7962.07,1397.64,9359.71,2753,600,3353,0.34576435524932586,0.4292950974499871,0.3582375949682202
2000,99,5125.86,822.53,5948.39,1904,374,2278,0.37144986402281766,0.45469466159289024,0.38296076753541713
2000,100,3121.7,481.04,3602.74,1251,234,1485,0.40074318480315213,0.4864460335938799,0.412186280442108
2001,0,369153.92,386958.66,756112.57,1480,1958,3438,0.004009167774786192,0.005059972039390462,0.004546941998332338
2001,1,363220.53,381893.97,745114.49,128,166,294,0.000352402987793669,0.0004346756247552168,0.00039457023577678645
2001,2,356102.76,373838.83,729941.59,79,118,197,0.00022184607611578185,0.000315644043717984,0.0002698846081643327
2001,3,352487.02,370767.68,723254.7,77,80,157,0.00021844776014730982,0.000215768537322347,0.00021707428932020767
2001,4,353545.9,372787.92,726333.82,54,69,123,0.00015273830074114846,0.00018509183452081817,0.00016934362219289198
2001,5,355292.2,373141.79,728433.99,41,57,98,0.0001153979738367462,0.00015275694528881368,0.00013453518279672808
2001,6,348726.54,365531.12,714257.66,47,56,103,0.0001347760913178561,0.00015320173012902432,0.00014420566382165225
2001,7,344149.12,360694.11,704843.23,20,51,71,5.8114342991782165e-05,0.00014139404716090318,0.00010073161942691853
